ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
abolir	aboliR	abolir	VER			3.08	9.32	1.08	2.97	inf;	1	1	1	6	6	VCVCVC	VCVCVC	3	2	6	6	a-bo-liR	3	V-CV-CVC	riloba	Riloba	a-bo-lir	VER	100	20	1.75	1.75	abolir	1
abolira	aboliRa	abolir	VER			3.08	9.32	0.01	0.34	ind:fut:3s;	1	2	0	7	7	VCVCVCV	VCVCVCV	0	1	0	0	a-bo-li-Ra	4	V-CV-CV-CV	ariloba	aRiloba	a-bo-li-ra	VER	100	20	2.35	2.2	abolir	1
abolirait	aboliRE	abolir	VER			3.08	9.32	0.00	0.07	cnd:pre:3s;	1	1	0	9	7	VCVCVCVVC	VCVCVCV	0	2	0	0	a-bo-li-RE	4	V-CV-CV-CV	tiariloba	ERiloba	a-bo-li-rait	VER	100	20	2.7	2.1	abolir	1
aboliras	aboliRa	abolir	VER			3.08	9.32	0.01	0.00	ind:fut:2s;	1	2	0	8	7	VCVCVCVC	VCVCVCV	0	1	0	0	a-bo-li-Ra	4	V-CV-CV-CV	sariloba	aRiloba	a-bo-li-ras	VER	100	20	2.55	2.2	abolir	1
abolis	aboli	aboli	ADJ	m	p	0.08	2.57	0.00	0.41		2	9	0	6	5	VCVCVC	VCVCV	3	4	0	5	a-bo-li	3	V-CV-CV	siloba	iloba	a-bo-lis	ADJ,VER	90	21	1.7	1.7	aboli	1
abolis	aboli	abolir	VER	m	p	3.08	9.32	0.14	0.41	ind:pre:1s;par:pas;	2	9	0	6	5	VCVCVC	VCVCV	3	4	0	5	a-bo-li	3	V-CV-CV	siloba	iloba	a-bo-lis	ADJ,VER	100	20	1.7	1.7	abolir	1
abolissaient	abolisE	abolir	VER			3.08	9.32	0.00	0.41	ind:imp:3p;	1	3	0	12	7	VCVCVCCVVVCC	VCVCVCV	0	4	0	0	a-bo-li-sE	4	V-CV-CV-CV	tneiassiloba	Esiloba	a-bo-lis-saient	VER	100	20	2.65	1.75	abolir	1
abolissais	abolisE	abolir	VER			3.08	9.32	0.00	0.07	ind:imp:1s;	1	3	0	10	7	VCVCVCCVVC	VCVCVCV	1	4	0	0	a-bo-li-sE	4	V-CV-CV-CV	siassiloba	Esiloba	a-bo-lis-sais	VER	100	20	2.75	1.75	abolir	1
abolissait	abolisE	abolir	VER			3.08	9.32	0.00	0.74	ind:imp:3s;	1	3	0	10	7	VCVCVCCVVC	VCVCVCV	2	4	0	0	a-bo-li-sE	4	V-CV-CV-CV	tiassiloba	Esiloba	a-bo-lis-sait	VER	100	20	2.2	1.75	abolir	1
abolissant	abolis@	abolir	VER			3.08	9.32	0.25	0.54	par:pre;	1	1	0	10	7	VCVCVCCVCC	VCVCVCV	2	3	0	0	a-bo-li-s@	4	V-CV-CV-CV	tnassiloba	@siloba	a-bo-lis-sant	VER	100	20	2.35	1.85	abolir	1
abolissent	abolis	abolir	VER			3.08	9.32	0.00	0.14	ind:pre:3p;	1	1	0	10	6	VCVCVCCVCC	VCVCVC	1	2	0	0	a-bo-lis	3	V-CV-CVC	tnessiloba	siloba	a-bo-lis-sent	VER	100	20	2.5	1.7	abolir	1
abolissions	abolisj§	abolir	VER			3.08	9.32	0.00	0.07	ind:imp:1p;	1	2	0	11	8	VCVCVCCVVCC	VCVCVCYV	0	0	0	8	a-bo-li-sj§	4	V-CV-CV-CYV	snoissiloba	§jsiloba	a-bo-lis-sions	VER	100	20	2.85	2.45	abolir	1
abolissons	abolis§	abolir	VER			3.08	9.32	0.02	0.00	imp:pre:1p;ind:pre:1p;	1	1	0	10	7	VCVCVCCVCC	VCVCVCV	0	2	0	0	a-bo-li-s§	4	V-CV-CV-CV	snossiloba	§siloba	a-bo-lis-sons	VER	100	20	2.6	2.15	abolir	1
abolit	aboli	abolir	VER			3.08	9.32	0.29	1.28	ind:pre:3s;ind:pas:3s;	1	9	0	6	5	VCVCVC	VCVCV	3	4	0	5	a-bo-li	3	V-CV-CV	tiloba	iloba	a-bo-lit	VER	100	20	1.8	1.7	abolir	1
abolition	abolisj§	abolition	NOM	f	s	0.45	1.49	0.45	1.49		1	2	1	9	8	VCVCVCVVC	VCVCVCYV	0	0	9	8	a-bo-li-sj§	4	V-CV-CV-CYV	noitiloba	§jsiloba	a-bo-li-tion	NOM	94	18	2.8	2.45	abolir-ion	2
abolitionniste	abolisjonist	abolitionniste	ADJ	m	s	0.03	0.07	0.03	0.00		2	4	1	14	12	VCVCVCVVCCVCCV	VCVCVCYVCVCC	0	0	10	8	a-bo-li-sjo-nist	5	V-CV-CV-CYV-CVCC	etsinnoitiloba	tsinojsiloba	a-bo-li-tion-nis-te	ADJ,NOM	90	21	4.45	4.5	abolitionniste	1
abolitionniste	abolisjonist	abolitionniste	NOM		s	0.17	0.07	0.07	0.00		2	4	1	14	12	VCVCVCVVCCVCCV	VCVCVCYVCVCC	0	0	10	8	a-bo-li-sjo-nist	5	V-CV-CV-CYV-CVCC	etsinnoitiloba	tsinojsiloba	a-bo-li-tion-nis-te	ADJ,NOM	94	17	4.45	4.5	abolitionniste	1
abolitionnistes	abolisjonist	abolitionniste	ADJ		p	0.03	0.07	0.00	0.07		2	4	0	15	12	VCVCVCVVCCVCCVC	VCVCVCYVCVCC	0	0	0	8	a-bo-li-sjo-nist	5	V-CV-CV-CYV-CVCC	setsinnoitiloba	tsinojsiloba	a-bo-li-tion-nis-tes	ADJ,NOM	90	21	4.75	4.5	abolitionniste	1
abolitionnistes	abolisjonist	abolitionniste	NOM		p	0.17	0.07	0.10	0.07		2	4	0	15	12	VCVCVCVVCCVCCVC	VCVCVCYVCVCC	0	0	0	8	a-bo-li-sjo-nist	5	V-CV-CV-CYV-CVCC	setsinnoitiloba	tsinojsiloba	a-bo-li-tion-nis-tes	ADJ,NOM	94	17	4.75	4.5	abolitionniste	1
abominable	abominabl	abominable	ADJ		s	5.39	11.22	4.78	8.99		1	2	1	10	9	VCVCVCVCCV	VCVCVCVCC	0	0	10	9	a-bo-mi-nabl	4	V-CV-CV-CVCC	elbanimoba	lbanimoba	a-bo-mi-na-ble	ADJ	93	31	3.35	3.4	abominer-able	2
abominablement	abominabl°m@	abominablement	ADV			0.01	0.68	0.01	0.68		1	1	1	14	12	VCVCVCVCCVCVCC	VCVCVCVCCVCV	0	0	11	10	a-bo-mi-na-bl°-m@	6	V-CV-CV-CV-CCV-CV	tnemelbanimoba	@m°lbanimoba	a-bo-mi-na-ble-ment	ADV			4.3	4.55	abominablement	1
abominables	abominabl	abominable	ADJ		p	5.39	11.22	0.62	2.23		1	2	0	11	9	VCVCVCVCCVC	VCVCVCVCC	0	0	0	9	a-bo-mi-nabl	4	V-CV-CV-CVCC	selbanimoba	lbanimoba	a-bo-mi-na-bles	ADJ	93	31	3.5	3.4	abominer-able	2
abominaient	abominE	abominer	VER			0.00	0.54	0.00	0.07	ind:imp:3p;	1	1	0	11	7	VCVCVCVVVCC	VCVCVCV	0	1	0	0	a-bo-mi-nE	4	V-CV-CV-CV	tneianimoba	Enimoba	a-bo-mi-naient	VER	68	29	2.9	2.4	abominer	1
abomination	abominasj§	abomination	NOM	f	s	1.94	4.53	1.24	3.04		1	2	1	11	10	VCVCVCVCVVC	VCVCVCVCYV	0	0	8	8	a-bo-mi-na-sj§	5	V-CV-CV-CV-CYV	noitanimoba	§jsanimoba	a-bo-mi-na-tion	NOM	89	19	3	2.9	abominer-ion	2
abominations	abominasj§	abomination	NOM	f	p	1.94	4.53	0.69	1.49		1	2	0	12	10	VCVCVCVCVVCC	VCVCVCVCYV	0	0	0	8	a-bo-mi-na-sj§	5	V-CV-CV-CV-CYV	snoitanimoba	§jsanimoba	a-bo-mi-na-tions	NOM	89	19	3.05	2.9	abominer-ion	2
abomine	abomin	abominer	VER			0.00	0.54	0.00	0.41	ind:pre:1s;ind:pre:3s;	1	1	0	7	6	VCVCVCV	VCVCVC	0	0	0	0	a-bo-min	3	V-CV-CVC	enimoba	nimoba	a-bo-mi-ne	VER	68	29	2.15	1.9	abominer	1
abominer	abomine	abominer	VER			0.00	0.54	0.00	0.07	inf;	1	1	1	8	7	VCVCVCVC	VCVCVCV	0	1	7	7	a-bo-mi-ne	4	V-CV-CV-CV	renimoba	enimoba	a-bo-mi-ner	VER	68	29	2.6	2.2	abominer	1
abonda	ab§da	abonder	VER			1.13	4.59	0.00	0.27	ind:pas:3s;	1	1	0	6	5	VCVCCV	VCVCV	3	3	0	0	a-b§-da	3	V-CV-CV	adnoba	ad§ba	a-bon-da	VER	88	27	1.8	1.75	abonder	1
abondai	ab§dE	abonder	VER			1.13	4.59	0.00	0.07	ind:pas:1s;	1	4	0	7	5	VCVCCVV	VCVCV	2	3	0	0	a-b§-dE	3	V-CV-CV	iadnoba	Ed§ba	a-bon-dai	VER	88	27	1.8	1.75	abonder	1
abondaient	ab§dE	abonder	VER			1.13	4.59	0.12	1.42	ind:imp:3p;	1	4	0	10	5	VCVCCVVVCC	VCVCV	1	3	0	0	a-b§-dE	3	V-CV-CV	tneiadnoba	Ed§ba	a-bon-daient	VER	88	27	2.1	1.75	abonder	1
abondais	ab§dE	abonder	VER			1.13	4.59	0.01	0.14	ind:imp:1s;	1	4	0	8	5	VCVCCVVC	VCVCV	2	3	0	0	a-b§-dE	3	V-CV-CV	siadnoba	Ed§ba	a-bon-dais	VER	88	27	1.95	1.75	abonder	1
abondait	ab§dE	abonder	VER			1.13	4.59	0.02	0.47	ind:imp:3s;	1	4	0	8	5	VCVCCVVC	VCVCV	3	3	0	0	a-b§-dE	3	V-CV-CV	tiadnoba	Ed§ba	a-bon-dait	VER	88	27	1.75	1.75	abonder	1
abondamment	ab§dam@	abondamment	ADV			0.30	4.93	0.30	4.93		1	1	1	11	7	VCVCCVCCVCC	VCVCVCV	0	0	7	5	a-b§-da-m@	4	V-CV-CV-CV	tnemmadnoba	@mad§ba	a-bon-dam-ment	ADV			3.45	2.75	abondamment	1
abondance	ab§d@s	abondance	NOM	f	s	2.76	9.39	2.76	9.39		1	1	1	9	6	VCVCCVCCV	VCVCVC	1	2	8	6	a-b§-d@s	3	V-CV-CVC	ecnadnoba	s@d§ba	a-bon-dan-ce	NOM	100	26	2.75	2.25	abondance	1
abondant	ab§d@	abondant	ADJ	m	s	1.36	7.03	0.09	1.42		2	3	1	8	5	VCVCCVCC	VCVCV	4	3	8	5	a-b§-d@	3	V-CV-CV	tnadnoba	@d§ba	a-bon-dant	ADJ,VER	100	20	1.7	1.7	abondant	1
abondant	ab§d@	abonder	VER			1.13	4.59	0.02	0.07	par:pre;	2	3	0	8	5	VCVCCVCC	VCVCV	4	3	8	5	a-b§-d@	3	V-CV-CV	tnadnoba	@d§ba	a-bon-dant	ADJ,VER	88	27	1.7	1.7	abonder	1
abondante	ab§d@t	abondant	ADJ	f	s	1.36	7.03	0.89	3.45		1	2	0	9	6	VCVCCVCCV	VCVCVC	2	1	0	0	a-b§-d@t	3	V-CV-CVC	etnadnoba	t@d§ba	a-bon-dan-te	ADJ	100	20	2.15	2.15	abondant	1
abondantes	ab§d@t	abondant	ADJ	f	p	1.36	7.03	0.33	1.22		1	2	0	10	6	VCVCCVCCVC	VCVCVC	0	1	0	0	a-b§-d@t	3	V-CV-CVC	setnadnoba	t@d§ba	a-bon-dan-tes	ADJ	100	20	2.6	2.15	abondant	1
abondants	ab§d@	abondant	ADJ	m	p	1.36	7.03	0.05	0.95		1	3	0	9	5	VCVCCVCCC	VCVCV	1	3	0	5	a-b§-d@	3	V-CV-CV	stnadnoba	@d§ba	a-bon-dants	ADJ	100	20	2.25	1.7	abondant	1
abondassent	ab§das	abonder	VER			1.13	4.59	0.00	0.07	sub:imp:3p;	1	1	0	11	6	VCVCCVCCVCC	VCVCVC	0	1	0	0	a-b§-das	3	V-CV-CVC	tnessadnoba	sad§ba	a-bon-das-sent	VER	88	27	3	2.1	abonder	1
abonde	ab§d	abonder	VER			1.13	4.59	0.28	0.81	ind:pre:1s;ind:pre:3s;	1	2	0	6	4	VCVCCV	VCVC	5	1	0	0	a-b§d	2	V-CVC	ednoba	d§ba	a-bon-de	VER	88	27	1.65	1.7	abonder	1
abondent	ab§d	abonder	VER			1.13	4.59	0.63	0.47	ind:pre:3p;	1	2	0	8	4	VCVCCVCC	VCVC	2	1	0	0	a-b§d	2	V-CVC	tnednoba	d§ba	a-bon-dent	VER	88	27	1.9	1.7	abonder	1
abonder	ab§de	abonder	VER			1.13	4.59	0.03	0.61	inf;	1	2	1	7	5	VCVCCVC	VCVCV	2	3	6	5	a-b§-de	3	V-CV-CV	rednoba	ed§ba	a-bon-der	VER	88	27	1.8	1.75	abonder	1
abondé	ab§de	abonder	VER	m	s	1.13	4.59	0.01	0.20	par:pas;	1	2	0	6	5	VCVCCV	VCVCV	4	3	0	5	a-b§-de	3	V-CV-CV	édnoba	ed§ba	a-bon-dé	VER	88	27	1.75	1.75	abonder	1
abonnai	abonE	abonner	VER			1.10	2.09	0.00	0.07	ind:pas:1s;	1	1	0	7	5	VCVCCVV	VCVCV	2	4	0	0	a-bo-nE	3	V-CV-CV	iannoba	Enoba	a-bon-nai	VER	100	30	1.9	1.7	abonner	1
abonnant	abOn@	abonner	VER			1.10	2.09	0.01	0.00	par:pre;	1	1	0	8	5	VCVCCVCC	VCVCV	2	1	0	0	a-bO-n@	3	V-CV-CV	tnannoba	@nOba		VER	100	30	1.9	1.85	abonner	1
abonne	abOn	abonner	VER			1.10	2.09	0.18	0.07	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	1	0	6	4	VCVCCV	VCVC	3	4	0	0	a-bOn	2	V-CVC	ennoba	nOba	a-bon-ne	VER	100	30	1.65	1.7	abonner	1
abonnement	abOn°m@	abonnement	NOM	m	s	4.82	1.62	3.37	1.55		1	2	1	10	7	VCVCCVCVCC	VCVCVCV	1	1	7	4	a-bO-n°-m@	4	V-CV-CV-CV	tnemennoba	@m°nOba	a-bon-ne-ment	NOM	100	26	2.4		abonner-ment	2
abonnements	abOn°m@	abonnement	NOM	m	p	4.82	1.62	1.45	0.07		1	2	0	11	7	VCVCCVCVCCC	VCVCVCV	0	1	0	4	a-bO-n°-m@	4	V-CV-CV-CV	stnemennoba	@m°nOba	a-bon-ne-ments	NOM	100	26	2.6		abonner-ment	2
abonner	abone	abonner	VER			1.10	2.09	0.27	0.14	inf;	1	13	1	7	5	VCVCCVC	VCVCV	3	4	7	4	a-bo-ne	3	V-CV-CV	rennoba	enoba	a-bon-ner	VER	100	30	1.8	1.8	abonner	1
abonnez	abone	abonner	VER			1.10	2.09	0.03	0.07	imp:pre:2p;ind:pre:2p;	1	13	0	7	5	VCVCCVC	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	zennoba	enoba	a-bon-nez	VER	100	30	1.85	1.8	abonner	1
abonnât	abona	abonner	VER			1.10	2.09	0.00	0.07	sub:imp:3s;	1	1	0	7	5	VCVCCVC	VCVCV	0	5	0	0	a-bo-na	3	V-CV-CV	tânnoba	anoba	a-bon-nât	VER	100	30	2.3	1.75	abonner	1
abonné	abone	abonner	VER	m	s	1.10	2.09	0.30	0.88	par:pas;	3	13	0	6	5	VCVCCV	VCVCV	3	4	6	4	a-bo-ne	3	V-CV-CV	énnoba	enoba	a-bon-né	VER,ADJ,NOM	100	30	1.75	1.8	abonner	1
abonné	abone	abonné	ADJ	m	s	0.47	0.00	0.30	0.00		3	13	1	6	5	VCVCCV	VCVCV	3	4	6	4	a-bo-ne	3	V-CV-CV	énnoba	enoba	a-bon-né	VER,ADJ,NOM	96	26	1.75	1.8	abonné	1
abonné	abone	abonné	NOM	m	s	0.87	2.23	0.30	0.34		3	13	1	6	5	VCVCCV	VCVCV	3	4	6	4	a-bo-ne	3	V-CV-CV	énnoba	enoba	a-bon-né	VER,ADJ,NOM	100	29	1.75	1.8	abonné	1
abonnée	abone	abonner	VER	f	s	1.10	2.09	0.15	0.68	par:pas;	3	13	0	7	5	VCVCCVV	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	eénnoba	enoba	a-bon-née	VER,ADJ,NOM	100	30	1.75	1.8	abonner	1
abonnée	abone	abonné	ADJ	f	s	0.47	0.00	0.01	0.00		3	13	0	7	5	VCVCCVV	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	eénnoba	enoba	a-bon-née	VER,ADJ,NOM	96	26	1.75	1.8	abonné	1
abonnée	abone	abonné	NOM	f	s	0.87	2.23	0.04	0.14		3	13	0	7	5	VCVCCVV	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	eénnoba	enoba	a-bon-née	VER,ADJ,NOM	100	29	1.75	1.8	abonné	1
abonnées	abone	abonner	VER	f	p	1.10	2.09	0.01	0.00	par:pas;	2	13	0	8	5	VCVCCVVC	VCVCV	1	4	0	4	a-bo-ne	3	V-CV-CV	seénnoba	enoba	a-bon-nées	VER,NOM	100	30	1.85	1.8	abonner	1
abonnées	abone	abonné	NOM	f	p	0.87	2.23	0.02	0.20		2	13	0	8	5	VCVCCVVC	VCVCV	1	4	0	4	a-bo-ne	3	V-CV-CV	seénnoba	enoba	a-bon-nées	VER,NOM	100	29	1.85	1.8	abonné	1
abonnés	abone	abonner	VER	m	p	1.10	2.09	0.16	0.14	par:pas;	3	13	0	7	5	VCVCCVC	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	sénnoba	enoba	a-bon-nés	VER,ADJ,NOM	100	30	1.8	1.8	abonner	1
abonnés	abone	abonné	ADJ	m	p	0.47	0.00	0.16	0.00		3	13	0	7	5	VCVCCVC	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	sénnoba	enoba	a-bon-nés	VER,ADJ,NOM	96	26	1.8	1.8	abonné	1
abonnés	abone	abonné	NOM	m	p	0.87	2.23	0.52	1.55		3	13	0	7	5	VCVCCVC	VCVCV	2	4	0	4	a-bo-ne	3	V-CV-CV	sénnoba	enoba	a-bon-nés	VER,ADJ,NOM	100	29	1.8	1.8	abonné	1
abord	abOR	abord	NOM	m	s	2.22	19.05	0.89	7.30		1	3	1	5	4	VCVCC	VCVC	0	5	5	4	a-bOR	2	V-CVC	droba	ROba	a-bord	NOM	95	22	1.7	1.25	abord	1
aborda	abORda	aborder	VER			12.55	33.18	0.16	3.99	ind:pas:3s;	1	1	0	6	6	VCVCCV	VCVCCV	4	5	0	0	a-bOR-da	3	V-CVC-CV	adroba	adROba	a-bor-da	VER	100	17	1.65	1.55	aborder	1
abordable	abORdabl	abordable	ADJ		s	0.47	0.20	0.34	0.20		1	2	1	9	8	VCVCCVCCV	VCVCCVCC	0	0	7	7	a-bOR-dabl	3	V-CVC-CVCC	elbadroba	lbadROba	a-bor-da-ble	ADJ	96	26	2.75	2.8	a-bord-able	3
abordables	abORdabl	abordable	ADJ		p	0.47	0.20	0.13	0.00		1	2	0	10	8	VCVCCVCCVC	VCVCCVCC	0	0	0	7	a-bOR-dabl	3	V-CVC-CVCC	selbadroba	lbadROba	a-bor-da-bles	ADJ	96	26	2.75	2.8	a-bord-able	3
abordage	abORdaZ	abordage	NOM	m	s	1.22	1.49	1.17	1.42		1	2	1	8	7	VCVCCVCV	VCVCCVC	0	1	7	7	a-bOR-daZ	3	V-CVC-CVC	egadroba	ZadROba	a-bor-da-ge	NOM	90	30	1.95	1.8	a-bord-age	3
abordages	abORdaZ	abordage	NOM	m	p	1.22	1.49	0.05	0.07		1	2	0	9	7	VCVCCVCVC	VCVCCVC	0	1	0	7	a-bOR-daZ	3	V-CVC-CVC	segadroba	ZadROba	a-bor-da-ges	NOM	90	30	2.3	1.8	a-bord-age	3
abordai	abORdE	aborder	VER			12.55	33.18	0.00	0.61	ind:pas:1s;	1	4	0	7	6	VCVCCVV	VCVCCV	1	5	0	0	a-bOR-dE	3	V-CVC-CV	iadroba	EdROba	a-bor-dai	VER	100	17	1.75	1.5	aborder	1
abordaient	abORdE	aborder	VER			12.55	33.18	0.03	1.28	ind:imp:3p;	1	4	0	10	6	VCVCCVVVCC	VCVCCV	1	5	0	0	a-bOR-dE	3	V-CVC-CV	tneiadroba	EdROba	a-bor-daient	VER	100	17	1.9	1.5	aborder	1
abordais	abORdE	aborder	VER			12.55	33.18	0.00	0.54	ind:imp:1s;	1	4	0	8	6	VCVCCVVC	VCVCCV	2	5	0	0	a-bOR-dE	3	V-CVC-CV	siadroba	EdROba	a-bor-dais	VER	100	17	1.85	1.5	aborder	1
abordait	abORdE	aborder	VER			12.55	33.18	0.47	2.50	ind:imp:3s;	1	4	0	8	6	VCVCCVVC	VCVCCV	3	5	0	0	a-bOR-dE	3	V-CVC-CV	tiadroba	EdROba	a-bor-dait	VER	100	17	1.7	1.5	aborder	1
abordant	abORd@	aborder	VER			12.55	33.18	0.03	1.42	par:pre;	1	1	0	8	6	VCVCCVCC	VCVCCV	3	5	0	0	a-bOR-d@	3	V-CVC-CV	tnadroba	@dROba	a-bor-dant	VER	100	17	1.8	1.6	aborder	1
aborde	abORd	aborder	VER			12.55	33.18	1.76	2.36	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	3	0	6	5	VCVCCV	VCVCC	4	4	0	0	a-bORd	2	V-CVCC	edroba	dROba	a-bor-de	VER	100	17	1.45	1.4	aborder	1
abordent	abORd	aborder	VER			12.55	33.18	0.09	0.54	ind:pre:3p;	1	3	0	8	5	VCVCCVCC	VCVCC	2	4	0	0	a-bORd	2	V-CVCC	tnedroba	dROba	a-bor-dent	VER	100	17	1.8	1.4	aborder	1
aborder	abORde	aborder	VER			12.55	33.18	5.65	12.91	inf;	1	9	1	7	6	VCVCCVC	VCVCCV	3	5	6	6	a-bOR-de	3	V-CVC-CV	redroba	edROba	a-bor-der	VER	100	17	1.65	1.5	aborder	1
abordera	abORd°Ra	aborder	VER			12.55	33.18	0.20	0.34	ind:fut:3s;	1	1	0	8	8	VCVCCVCV	VCVCCVCV	0	3	0	0	a-bOR-d°-Ra	4	V-CVC-CV-CV	aredroba	aR°dROba	a-bor-de-ra	VER	100	17	1.85	1.9	aborder	1
aborderai	abORd°RE	aborder	VER			12.55	33.18	0.08	0.14	ind:fut:1s;	1	4	0	9	8	VCVCCVCVV	VCVCCVCV	0	3	0	0	a-bOR-d°-RE	4	V-CVC-CV-CV	iaredroba	ER°dROba	a-bor-de-rai	VER	100	17	2.2	1.8	aborder	1
aborderaient	abORd°RE	aborder	VER			12.55	33.18	0.00	0.07	cnd:pre:3p;	1	4	0	12	8	VCVCCVCVVVCC	VCVCCVCV	0	3	0	0	a-bOR-d°-RE	4	V-CVC-CV-CV	tneiaredroba	ER°dROba	a-bor-de-raient	VER	100	17	2.65	1.8	aborder	1
aborderais	abORd°RE	aborder	VER			12.55	33.18	0.02	0.07	cnd:pre:1s;	1	4	0	10	8	VCVCCVCVVC	VCVCCVCV	1	3	0	0	a-bOR-d°-RE	4	V-CVC-CV-CV	siaredroba	ER°dROba	a-bor-de-rais	VER	100	17	2.45	1.8	aborder	1
aborderait	abORd°RE	aborder	VER			12.55	33.18	0.02	0.14	cnd:pre:3s;	1	4	0	10	8	VCVCCVCVVC	VCVCCVCV	1	3	0	0	a-bOR-d°-RE	4	V-CVC-CV-CV	tiaredroba	ER°dROba	a-bor-de-rait	VER	100	17	1.95	1.8	aborder	1
aborderiez	abORd°Rje	aborder	VER			12.55	33.18	0.01	0.00	cnd:pre:2p;	1	1	0	10	9	VCVCCVCVVC	VCVCCVCYV	0	2	0	0	a-bOR-d°-Rje	4	V-CVC-CV-CYV	zeiredroba	ejR°dROba	a-bor-de-riez	VER	100	17	2.65	2.3	aborder	1
aborderions	abORd°Rj§	aborder	VER			12.55	33.18	0.00	0.14	cnd:pre:1p;	1	1	0	11	9	VCVCCVCVVCC	VCVCCVCYV	0	1	0	0	a-bOR-d°-Rj§	4	V-CVC-CV-CYV	snoiredroba	§jR°dROba	a-bor-de-rions	VER	100	17	3	2.45	aborder	1
aborderons	abORd°R§	aborder	VER			12.55	33.18	0.09	0.07	ind:fut:1p;	1	2	0	10	8	VCVCCVCVCC	VCVCCVCV	1	3	0	0	a-bOR-d°-R§	4	V-CVC-CV-CV	snoredroba	§R°dROba	a-bor-de-rons	VER	100	17	2.5	2	aborder	1
aborderont	abORd°R§	aborder	VER			12.55	33.18	0.04	0.14	ind:fut:3p;	1	2	0	10	8	VCVCCVCVCC	VCVCCVCV	1	3	0	0	a-bOR-d°-R§	4	V-CVC-CV-CV	tnoredroba	§R°dROba	a-bor-de-ront	VER	100	17	2.55	2	aborder	1
abordes	abORd	aborder	VER			12.55	33.18	0.36	0.07	ind:pre:2s;	1	3	0	7	5	VCVCCVC	VCVCC	3	4	0	0	a-bORd	2	V-CVCC	sedroba	dROba	a-bor-des	VER	100	17	1.65	1.4	aborder	1
abordez	abORde	aborder	VER			12.55	33.18	0.75	0.00	imp:pre:2p;ind:pre:2p;	1	9	0	7	6	VCVCCVC	VCVCCV	2	5	0	6	a-bOR-de	3	V-CVC-CV	zedroba	edROba	a-bor-dez	VER	100	17	1.7	1.5	aborder	1
abordiez	abORdje	aborder	VER			12.55	33.18	0.02	0.07	ind:imp:2p;	1	1	0	8	7	VCVCCVVC	VCVCCYV	0	2	0	0	a-bOR-dje	3	V-CVC-CYV	zeidroba	ejdROba	a-bor-diez	VER	100	17	2.25	1.8	aborder	1
abordions	abORdj§	aborder	VER			12.55	33.18	0.04	0.34	ind:imp:1p;	1	1	0	9	7	VCVCCVVCC	VCVCCYV	0	2	0	0	a-bOR-dj§	3	V-CVC-CYV	snoidroba	§jdROba	a-bor-dions	VER	100	17	2.45	1.85	aborder	1
abordons	abORd§	aborder	VER			12.55	33.18	0.72	0.41	imp:pre:1p;ind:pre:1p;	1	1	0	8	6	VCVCCVCC	VCVCCV	0	5	0	0	a-bOR-d§	3	V-CVC-CV	snodroba	§dROba	a-bor-dons	VER	100	17	1.95	1.65	aborder	1
abords	abOR	abord	NOM	m	p	2.22	19.05	1.33	11.76		1	3	0	6	4	VCVCCC	VCVC	3	5	0	4	a-bOR	2	V-CVC	sdroba	ROba	a-bord-s	NOM	95	22	1.6	1.25	abord	1
abordâmes	abORdam	aborder	VER			12.55	33.18	0.00	0.27	ind:pas:1p;	1	1	0	9	7	VCVCCVCVC	VCVCCVC	0	1	0	0	a-bOR-dam	3	V-CVC-CVC	semâdroba	madROba	a-bor-dâ-mes	VER	100	17	2.85	2	aborder	1
abordèrent	abORdER	aborder	VER			12.55	33.18	0.01	0.68	ind:pas:3p;	1	1	0	10	7	VCVCCVCVCC	VCVCCVC	0	1	0	0	a-bOR-dER	3	V-CVC-CVC	tnerèdroba	REdROba	a-bor-dè-rent	VER	100	17	2.3	1.85	aborder	1
abordé	abORde	aborder	VER	m	s	12.55	33.18	1.36	2.97	par:pas;	2	9	0	6	6	VCVCCV	VCVCCV	4	5	6	6	a-bOR-de	3	V-CVC-CV	édroba	edROba	a-bor-dé	VER,ADJ	100	17	1.55	1.5	aborder	1
abordé	abORde	abordé	ADJ	m	s	0.15	0.20	0.03	0.14		2	9	1	6	6	VCVCCV	VCVCCV	4	5	6	6	a-bOR-de	3	V-CVC-CV	édroba	edROba	a-bor-dé	VER,ADJ	92	25	1.55	1.5	a-bordé	2
abordée	abORde	aborder	VER	f	s	12.55	33.18	0.34	0.54	par:pas;	1	9	0	7	6	VCVCCVV	VCVCCV	1	5	0	6	a-bOR-de	3	V-CVC-CV	eédroba	edROba	a-bor-dée	VER	100	17	1.7	1.5	aborder	1
